record_id,category,status,order_value_inr,days_since_created,delayed_shipment
NYK-00001,Footwear,Placed,2301.65,7,True
NYK-00002,Apparel,Delivered,2998.61,18,False
NYK-00003,Apparel,Shipped,2822.56,0,False
NYK-00004,Beauty,Delivered,1641.46,14,False
NYK-00005,Beauty,Placed,2877.62,22,False
NYK-00006,Electronics,Shipped,9397.44,3,True
NYK-00007,Apparel,Returned,3255.39,25,True
NYK-00008,Home,Placed,3727.03,2,False
NYK-00009,Beauty,Delivered,3056.46,18,True
NYK-00010,Apparel,Delivered,4000.5,2,False
NYK-00011,Beauty,Shipped,1749.91,26,False
NYK-00012,Electronics,Shipped,3935.76,29,False
NYK-00013,Apparel,Delivered,2949.22,7,True
NYK-00014,Electronics,Refunded,8039.0,17,False
NYK-00015,Electronics,Delivered,1614.32,26,True
NYK-00016,Electronics,Shipped,3319.81,30,False
NYK-00017,Beauty,Shipped,1896.54,28,False
NYK-00018,Home,Shipped,1362.2,17,False
NYK-00019,Beauty,Delivered,2166.31,11,False
NYK-00020,Beauty,Delivered,589.91,1,False
NYK-00021,Apparel,Shipped,3593.12,19,True
NYK-00022,Electronics,Refunded,6819.26,17,False
NYK-00023,Apparel,Delivered,3598.53,17,False
NYK-00024,Beauty,Shipped,1238.2,5,False
NYK-00025,Beauty,Returned,1141.84,16,False
NYK-00026,Home,Placed,2687.55,26,False
NYK-00027,Footwear,Shipped,4787.81,17,False
NYK-00028,Beauty,Refunded,2215.62,15,True
NYK-00029,Beauty,Returned,2960.33,9,False
NYK-00030,Apparel,Delivered,945.53,23,False
NYK-00031,Apparel,Delivered,3968.67,4,False
NYK-00032,Beauty,Shipped,1987.56,19,False
NYK-00033,Apparel,Delivered,3810.7,6,False
NYK-00034,Electronics,Delivered,5106.63,28,False
NYK-00035,Apparel,Shipped,2086.58,18,False
NYK-00036,Footwear,Placed,4508.99,1,False
NYK-00037,Beauty,Returned,525.74,7,False
NYK-00038,Home,Delivered,3030.73,28,False
NYK-00039,Home,Delivered,3325.24,6,True
NYK-00040,Footwear,Shipped,2995.62,27,False
NYK-00041,Footwear,Refunded,1400.93,12,False
NYK-00042,Beauty,Placed,912.09,17,False
NYK-00043,Home,Shipped,1373.32,29,True
NYK-00044,Beauty,Returned,612.31,20,False
NYK-00045,Beauty,Refunded,3263.37,27,False
NYK-00046,Home,Delivered,3525.28,28,True
NYK-00047,Electronics,Refunded,3916.23,25,False
NYK-00048,Electronics,Delivered,9034.56,25,False
NYK-00049,Beauty,Shipped,1248.47,30,True
NYK-00050,Beauty,Placed,1302.54,1,False
